Note Name,Parent Node,Category,Connections,Description
Alternate form usage requirements for retakes,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[Integrity]], [[Assessment]], [[Design Phase]]""","""Requirement to use a different set of questions for a learner's second attempt."""
Remediation and study mandates before retake,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[Remediation]], [[Learning Transfer]], [[Implementation Phase]]""","""Policy requiring specific study or coaching before a retake is allowed."""
Score reporting logic for multiple attempts,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[Reporting]], [[Grading]], [[LMS]]""","""Rule on whether the highest, most recent, or average score is recorded."""
Retake scheduling and logistics management,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[Scheduling]], [[Ops]], [[Retakes]]""","""Procedures for scheduling and administering a second assessment attempt."""
Consequences of final training failure,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Retake & Remediation Policies,"""[[HR]], [[Performance]], [[Governance]]""","""Defined organizational impact of failing a mandatory training after all retakes."""
Academic misconduct and cheating definitions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Ethics]], [[Integrity]], [[Legal]]""","""Clear examples of what constitutes cheating or plagiarism in L&D."""
Integrity detection methods and technologies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Security]], [[Technology]], [[Integrity]]""","""Policy on using plagiarism checkers or data forensics to identify dishonesty."""
Misconduct investigation procedures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Ethics]], [[Workflow]], [[Governance]]""","""Procedural steps for reviewing a suspected violation of academic integrity."""
Learner due process and appeal rights,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Rights]], [[Legal]], [[Governance]]""","""Rights of the learner to respond to allegations and appeal misconduct decisions."""
Sanctions and penalties for dishonesty,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Governance]], [[Ethics]], [[HR]]""","""Range of penalties for academic dishonesty, from course failure to termination."""
Reporting and documentation for misconduct,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Documentation]], [[Ethics]], [[Compliance]]""","""Mandate to record and archive all evidence of training-related misconduct."""
Statistical pattern analysis for unusual results,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Academic Integrity & Misconduct,"""[[Psychometrics]], [[Integrity]], [[Evaluation Phase]]""","""Use of statistical tools to identify unusual answer clusters or timing."""
Score reporting format and detail standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[Reporting]], [[Design Phase]], [[Communication]]""","""Standardized layout for learner score reports and achievement notifications."""
Timing and release requirements for results,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[SLA]], [[Scheduling]], [[Ops]]""","""Target SLAs for how quickly scores must be released to learners."""
Diagnostic feedback and remediation guidance,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[Feedback]], [[Remediation]], [[Implementation Phase]]""","""Requirement to show learners specific areas of strength and weakness after a test."""
Feedback granularity (Item-level vs. aggregate),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[Feedback]], [[Assessment]], [[Evaluation Phase]]""","""Policy choice between showing overall score vs. specific question feedback."""
Correct answer revelation and review policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[Integrity]], [[Feedback]], [[Implementation Phase]]""","""Rules for when and if the correct answers are shown to learners after a test."""
Comparative and percentile data provision,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[Benchmarking]], [[Reporting]], [[Evaluation Phase]]""","""Policy regarding showing learners their percentile rank or group averages."""
Feedback delivery channels and methods,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Feedback & Results Communication,"""[[Communication]], [[LMS]], [[Security]]""","""Authorized channels (LMS, secure email) for transmitting results."""
Certification program governance and oversight,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Governance]], [[Strategy]], [[Certification]]""","""Oversight body responsible for authorizing and auditing internal certification tracks."""
Certification eligibility and entry criteria,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Prerequisites]], [[Certification]], [[Planning Phase]]""","""Prerequisites (tenure, role, current score) required to enter a certification program."""
Certification validity and expiration periods,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Lifecycle]], [[Maintenance]], [[Certification]]""","""Hard timelines for how long an internal credential remains active (e.g., 2 years)."""
Ongoing maintenance of certification (MOC),GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Maintenance]], [[PDH]], [[Certification]]""","""Required ongoing activities (PDHs, labs) needed to keep a certificate current."""
Recertification and re-examination policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Assessment]], [[Maintenance]], [[Certification]]""","""Rules for the full re-testing or re-evaluation process upon credential expiration."""
Certification revocation and termination conditions,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Governance]], [[HR]], [[Certification]]""","""Defined conditions (e.g., policy breach) under which a credential is removed."""
Progressive certification hierarchies and levels,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Hierarchy]], [[Career Pathing]], [[Certification]]""","""Laddering rules for moving from associate to professional internal tiers."""
Specialist and advanced certification pathways,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Internal Certification & Credentialing,"""[[Specialization]], [[Certification]], [[Strategy]]""","""Policies for creating ""add-on"" or niche certifications for specific job tasks."""
Support for recognized external certifications,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[Strategy]], [[Credentials]], [[Professional Dev]]""","""Organizational stance on paying for or recognizing outside certs (PMP, CPA)."""
Official list of recognized 3rd-party credentials,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[Strategy]], [[Whitelist]], [[Credentials]]""","""Curated list of 3rd-party credentials the organization officially accepts."""
External certification reimbursement policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[Finance]], [[Compensation]], [[Benefits]]""","""Financial policies for covering the cost of external exam fees."""
Study leave and exam preparation time,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[Time Allocation]], [[Ops]], [[Credentials]]""","""Allowance of paid work time for employees preparing for high-stakes external exams."""
Reimbursement conditions for cert attempts,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[Finance]], [[Evaluation Phase]], [[Certification]]""","""Rules requiring a passing score before the company pays for an exam."""
CEU tracking and documentation from outside sources,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[Maintenance]], [[PDH]], [[LMS]]""","""System of record and process for documenting continuing education units from outside sources."""
Professional development hour (PDH) allocation,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,External Certification & Professional Credentials,"""[[PDH]], [[Maintenance]], [[HR]]""","""Rules for converting internal training attendance into professional development hours."""
Digital badge framework and platform selection,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Technology]], [[Strategy]], [[Badging]]""","""Definition of the technology and standards (e.g., Open Badges) used for digital icons."""
Badge design and required metadata standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Metadata]], [[Visual Design]], [[Badging]]""","""Required data fields (issuer, criteria, evidence) baked into a digital badge."""
Issuance criteria and approval processes for badges,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Approval]], [[Badging]], [[Governance]]""","""Approval chain required before a badge is sent to a learner."""
Badge hierarchy and stacking logic,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Hierarchy]], [[Curriculum]], [[Badging]]""","""Logic defining how small ""milestone"" badges combine into larger credentials."""
Badge display and external sharing guidelines,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Social Media]], [[Communication]], [[Badging]]""","""Rules for learners posting badges on LinkedIn or other professional sites."""
Badge verification and validation mechanisms,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Integrity]], [[Identity]], [[Badging]]""","""Technical mechanism for 3rd parties to validate the authenticity of a badge."""
Badge expiration and renewal requirements,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[Lifecycle]], [[Maintenance]], [[Badging]]""","""Rules for automatic badge retirement or renewal notifications."""
Profile and HR system integration for badges,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Digital Badges & Micro-Credentials,"""[[HRIS]], [[Integration]], [[Badging]]""","""Procedures for syncing internal digital badges with employee HR profiles."""
Certificate and credential design standards,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Visual Design]], [[Branding]], [[Certification]]""","""Standards for the visual look, paper quality, or digital layout of diplomas."""
Certificate security features and anti-fraud,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Security]], [[Integrity]], [[Certification]]""","""Anti-fraud features such as QR codes, digital signatures, or embossed seals."""
Mandated information on certificates,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Documentation]], [[LMS]], [[Certification]]""","""Mandated data points (name, date, signature) that must appear on every credential."""
Digital vs. physical certificate precedence,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Modality]], [[Strategy]], [[Certification]]""","""Policy designating which format is the ""official"" version of an award."""
Certificate numbering and tracking systems,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Metadata]], [[Inventory]], [[Certification]]""","""Unique identification system for tracking every certificate issued."""
Authorized credential signatories,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Governance]], [[Authorization]], [[Certification]]""","""Designated leaders permitted to sign organizational credentials."""
Replacement and re-issuance procedures,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Maintenance]], [[Ops]], [[Certification]]""","""Procedures and costs for re-issuing a lost or damaged original diploma."""
Posthumous certificate issuance policies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Certificates & Credentials - Design & Issuance,"""[[Ethics]], [[HR]], [[Certification]]""","""Policies regarding the issuance of training credit after a learner's passing."""
Training graduation or completion ceremonies,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Recognition & Awards,"""[[Culture]], [[Recognition]], [[Implementation Phase]]""","""Standards for graduation events, guest lists, and formal recognition."""
Honor rolls and high achievement recognition,GOVERNANCE/INTERNAL POLICY/NON-STATUTORY STANDARD,Recognition & Awards,"""[[Recognition]], [[HiPo]], [[Ops]]""","""Criteria and publication rules for top-performing training cohorts."""
